Name,Data Type,Fault Element,Faulty Component,File Format,Key Signals,Link,Provider,Remarks,"Shift ",Year,정리
CWRU,Batch,"IR, B, OR",Bearing,mat,Vibration,https://engineering.case.edu/bearingdatacenter,Case Western Reserve University,"인공 결함 ","Fault Diameters, Load, Rotating Speed",~1999,Yes
MFPT,Batch,"IR, OR",Bearing,mat,Vibration,https://drive.google.com/file/d/1fs3AP2So2GBV0pwrVKVm-soFs2FajZ7h/view,Society for Machinery Failure Prevention Technology,인공 결함 + 자연 결함,Load,~2010,Yes
PU,Batch,"IR, OR, IR+OR",Bearing,mat,"Motor Current, Vibration","https://mb.uni-paderborn.de/kat/forschung/bearing-datacenter/data-sets-and-download, https://www.papers.phmsociety.org/index.php/phme/article/view/1577",Paderborn University,인공 결함 + 자연 결함,"Load Torque, Radial Force, Rotating Speed",2016,Yes
Ottawa (2023),Batch,"IR, OR, B, Cage",Bearing,"csv, mat, xlsx","Acoustic, Vibration","https://www.sciencedirect.com/science/article/pii/S2352340923004456, https://data.mendeley.com/datasets/y2px5tg92h/5",University of Ottawa,자연 결함,None,2023,Yes
Ottawa (2018),Batch,"IR, OR",Bearing,mat,Vibration,"https://www.sciencedirect.com/science/article/pii/S2352340918314124, https://data.mendeley.com/datasets/v43hmbwxpm/1",University of Ottawa,"인공 결함, time-varying speed",Rotating Speed,2018,Yes
PRONOSTIA-FEMTO (IEEE PHM Challenge 2012),RTF,명시 X,Bearing,csv,"Temperature, Vibration","https://phm-datasets.s3.amazonaws.com/NASA/10.+FEMTO+Bearing.zip, https://hal.science/hal-00719503/",FEMTO-ST Institute,"챌린지 데이터셋 ","Radial Force, Rotating Speed",2012,Yes
IMS,RTF,"IR, OR, Roller",Bearing,ASCII,Vibration,"https://phm-datasets.s3.amazonaws.com/NASA/4.+Bearings.zip, https://github.com/matheuscnali/bearing-rul-predictor/blob/master/docs/dataset/ims%20dataset/Readme%20Document%20for%20IMS%20Bearing%20Data.pdf","Center for Intelligent Maintenance Systems, University of Cincinnati, NASA",,None,~2004,Yes
UOS,Batch,"IR, OR, B","Bearing, Shaft",mat,Vibration,"https://www.sciencedirect.com/science/article/pii/S235234092400903X, https://data.mendeley.com/datasets/53vtnjy6c6/1, https://data.mendeley.com/datasets/7trwzz77xh/1, https://data.mendeley.com/datasets/2cygy6y4rk/1",University of Seoul,"인공 결함, 베어링 결함+기계 결함","Bearing, Rotating Speed",2024,Yes
XJTU-SY,RTF,"베어링 단일: OR, IR, Cage
베어링 복합: IR+OR, IR+OR+B+Cage",Bearing,csv,Vibration,https://biaowang.tech/xjtu-sy-bearing-datasets/,Xi’an Jiaotong University and Sumyoung Technology,,"Radial Force, Rotating Speed",2020,Yes
PHM09,Batch,"N, CT, BT",Gear,csv,Vibration,https://phmsociety.org/public-data-sets/,PHM Society,"인공 결함, 챌린지 데이터셋","Load, Rotating Speed",2009,Yes
HUST (Vietnam),Batch,"B, IR, OR, IR+B, IR+OR, OR+B",Bearing,mat,Vibration,"https://link.springer.com/article/10.1186/s13104-023-06400-4, https://data.mendeley.com/datasets/cbv7jyx4p9/3",Hanoi University of Science and Technology,인공 결함,"Bearing, Load",2023,Yes
JNU,Batch,"IR, OR, B",Bearing,csv,Vibration,"https://www.mdpi.com/1424-8220/13/6/8013, https://github.com/ClarkGableWang/JNU-Bearing-Dataset",Jiangnan University,인공 결함,Rotating Speed,2021~,Yes
SEU,Batch,"Bearing: B, IR, OR, IR+OR
Gearbox: Chipped, Miss, Root, Surface","Bearing, Gear",csv,Vibration,"https://ieeexplore.ieee.org/abstract/document/8432110, https://github.com/cathysiyu/Mechanical-datasets/tree/master",Southeast University,"인공 결함 ","Load, Rotating Speed",2016~,Yes
KAIST (RTF),RTF,"IR, OR, B",Bearing,csv,"Temperature, Vibration","https://www.sciencedirect.com/science/article/pii/S235234092400372X, https://data.mendeley.com/datasets/5hcdd3tdvb/6",KAIST ,,None,2024,Yes
HUST (China),Batch,"IR, OR, B, IR+OR (심각도 상이)",Bearing,xlsx,Vibration,"https://www.sciencedirect.com/science/article/pii/S0951832024000395#sec0040, https://drive.google.com/drive/folders/1UMOvyfstYJRyR0rPw0OfH-tIjJg2_0aN?usp=sharing, https://github.com/CHAOZHAO-1/HUSTbearing-dataset",Huazhong University of Science & Technology,인공 결함,"Rotating Speed, Severity",2024,Yes
KAIST (Batch),Batch," IR, OR, B","Bearing, Shaft",mat,"Acoustic, Motor Current, Temperature, Vibration",https://www.sciencedirect.com/science/article/pii/S2352340923001671,KAIST,인공 결함,"Load, Rotating Speed",2023,Yes
UdS,Batch,IR,Bearing,"csv, mat",Vibration,https://www.mdpi.com/2306-5729/10/5/77,"Saarland University, Centre for Mechatronics and Automation Technology gGmbH","인공 결함, 공변량(마운팅 위치·조립오류 등) 체계적 통제 연구용","Bearing, Load, Position, Rotating Speed",2025,Yes